project_id,alternative,criterion,score
20250515220927,Hibrida NASA,Curah Hujan,0.3
20250515220927,BIMA 19 URI,Curah Hujan,0.3
20250515220927,BIMA 14 Batara,Curah Hujan,0.1
20250515220927,HJ 21,Curah Hujan,0.3
20250515220927,Hibrida NASA,Tahan terhadap hama,0.2988
20250515220927,BIMA 19 URI,Tahan terhadap hama,0.4805
20250515220927,BIMA 14 Batara,Tahan terhadap hama,0.1494
20250515220927,HJ 21,Tahan terhadap hama,0.0714
20250515220927,Hibrida NASA,Hasil Panen,0.3
20250515220927,BIMA 19 URI,Hasil Panen,0.3
20250515220927,BIMA 14 Batara,Hasil Panen,0.1
20250515220927,HJ 21,Hasil Panen,0.3
20250515220927,Hibrida NASA,Usia Panen,0.565
20250515220927,BIMA 19 URI,Usia Panen,0.2622
20250515220927,BIMA 14 Batara,Usia Panen,0.1175
20250515220927,HJ 21,Usia Panen,0.0553
20250515220927,Hibrida NASA,Umur bibit,0.3333
20250515220927,BIMA 19 URI,Umur bibit,0.1667
20250515220927,BIMA 14 Batara,Umur bibit,0.1667
20250515220927,HJ 21,Umur bibit,0.3333
20250515221036,Hibrida NASA,Curah Hujan,1.0
20250515221036,Hibrida NASA,Tahan terhadap hama,4.0
20250515221036,Hibrida NASA,Hasil Panen,2.0
20250515221036,Hibrida NASA,Usia Panen,1.0
20250515221036,Hibrida NASA,Umur bibit,4.0
20250515221036,BIMA 19 URI,Curah Hujan,1.0
20250515221036,BIMA 19 URI,Tahan terhadap hama,3.0
20250515221036,BIMA 19 URI,Hasil Panen,2.0
20250515221036,BIMA 19 URI,Usia Panen,2.0
20250515221036,BIMA 19 URI,Umur bibit,3.0
20250515221036,BIMA 14 Batara,Curah Hujan,2.0
20250515221036,BIMA 14 Batara,Tahan terhadap hama,2.0
20250515221036,BIMA 14 Batara,Hasil Panen,1.0
20250515221036,BIMA 14 Batara,Usia Panen,3.0
20250515221036,BIMA 14 Batara,Umur bibit,3.0
20250515221036,HJ 21,Curah Hujan,1.0
20250515221036,HJ 21,Tahan terhadap hama,1.0
20250515221036,HJ 21,Hasil Panen,2.0
20250515221036,HJ 21,Usia Panen,4.0
20250515221036,HJ 21,Umur bibit,4.0
20250517042125,Hibrida NASA,Curah Hujan,1.0
20250517042125,Hibrida NASA,Tahan terhadap hama,4.0
20250517042125,Hibrida NASA,Hasil Panen,2.0
20250517042125,Hibrida NASA,Usia Panen,1.0
20250517042125,Hibrida NASA,Umur bibit,4.0
20250517042125,BIMA 19 URI,Curah Hujan,1.0
20250517042125,BIMA 19 URI,Tahan terhadap hama,3.0
20250517042125,BIMA 19 URI,Hasil Panen,2.0
20250517042125,BIMA 19 URI,Usia Panen,2.0
20250517042125,BIMA 19 URI,Umur bibit,3.0
20250517042125,BIMA 14 Batara,Curah Hujan,2.0
20250517042125,BIMA 14 Batara,Tahan terhadap hama,2.0
20250517042125,BIMA 14 Batara,Hasil Panen,1.0
20250517042125,BIMA 14 Batara,Usia Panen,3.0
20250517042125,BIMA 14 Batara,Umur bibit,3.0
20250517042125,HJ 21,Curah Hujan,1.0
20250517042125,HJ 21,Tahan terhadap hama,1.0
20250517042125,HJ 21,Hasil Panen,2.0
20250517042125,HJ 21,Usia Panen,4.0
20250517042125,HJ 21,Umur bibit,4.0
